商城系统项目开发评估				
模块	类型	主要功能	报价	备注
基础部分	商城	主要包括商品展示，商品详情，商品搜索，购物车，下单，微信支付，支付宝支付，订单信息，物流查看，收藏，评价，留言等等	12K	需要提供微信支付和支付宝支付的相关账号信息
	后台管理系统	包括商店设置，管理人员权限管理，商品管理，用户管理，订单管理，商品促销活动，商家入驻管理，基本数据统计，商城广告，商城导航栏管理	10k	
	服务器配置	LAMP服务器环境部署	赠	此处只是进行服务器的环境部署，仅提供测试服务器，不提供正式服务器，需自行租用阿里云服务器（项目交付前10到15天提供即可）
	公众号配置	将商城对接到微信公众平台，用户自动通过微信号登陆	赠	需要提供微信公众平台相关站好信息
V积分系统	vip会员	会员充值、提现，商城分享，后台会员管理，以及会员各数据统计等等	12k	
	三级分销	三级分销及管理	10k	
	抽奖	抽奖活动配置及管理	10k	
				
				
				
综合说明：本次项目开发周期大约需要45天（两个人开发），11月4号即可启动，12月23日交付，交付完成后提供一个月的项目维护（提供小的需求变更和更新），报价5.4万元人民币，付款模式为3+5+2，即项目开始时先付30%的定金，项目交付时付50%的金额，项目维护完成付完所有款项				
				
